1350|Jandrain-Jandrenouille|Waals-Brabant|Jandrain-Jandrenouille|Brabant Wallon
1350|Jauche|Waals-Brabant|Jauche|Brabant Wallon
1350|Marilles|Waals-Brabant|Marilles|Brabant Wallon
1350|Noduwez|Waals-Brabant|Noduwez|Brabant Wallon
1350|ORP-JAUCHE|Waals-Brabant|ORP-JAUCHE|Brabant Wallon
1350|Orp-Le-Grand|Waals-Brabant|Orp-Le-Grand|Brabant Wallon
1357|HÉLÉCINE|Waals-Brabant|HÉLÉCINE|Brabant Wallon
1357|Linsmeau|Waals-Brabant|Linsmeau|Brabant Wallon
1357|Neerheylissem|Waals-Brabant|Neerheylissem|Brabant Wallon
1357|Opheylissem|Waals-Brabant|Opheylissem|Brabant Wallon
1360|Malèves-Sainte-Marie-Wastines|Waals-Brabant|Malèves-Sainte-Marie-Wastines|Brabant Wallon
1360|Orbais|Waals-Brabant|Orbais|Brabant Wallon
1360|PERWEZ|Waals-Brabant|PERWEZ|Brabant Wallon
1360|Thorembais-Les-Béguines|Waals-Brabant|Thorembais-Les-Béguines|Brabant Wallon
1360|Thorembais-Saint-Trond|Waals-Brabant|Thorembais-Saint-Trond|Brabant Wallon
1367|Autre-Eglise|Waals-Brabant|Autre-Eglise|Brabant Wallon
1367|Bomal|Waals-Brabant|Bomal|Brabant Wallon
1367|Geest-Gérompont-Petit-Rosière|Waals-Brabant|Geest-Gérompont-Petit-Rosière|Brabant Wallon
1367|Gérompont|Waals-Brabant|Gérompont|Brabant Wallon
1367|Grand-Rosière-Hottomont|Waals-Brabant|Grand-Rosière-Hottomont|Brabant Wallon
1367|Huppaye|Waals-Brabant|Huppaye|Brabant Wallon
1367|Mont-Saint-André|Waals-Brabant|Mont-Saint-André|Brabant Wallon
1367|RAMILLIES|Waals-Brabant|RAMILLIES|Brabant Wallon
1370|Dongelberg|Waals-Brabant|Dongelberg|Brabant Wallon
1370|Jauchelette|Waals-Brabant|Jauchelette|Brabant Wallon
